S,1849,1
S,a,5
S,about,1
S,acclam,1
S,aloud,1
S,alreadi,1
S,alway,1
S,and,5
S,arrest,1
S,befor,1
S,begun,1
S,book,1
S,brilliant,1
S,but,2
S,by,1
S,came,1
S,career,1
S,celebr,1
S,charact,1
S,children,2
S,dash,1
S,deepli,1
S,delic,1
S,doctor,1
S,dostoevski,3
S,engin,1
S,english,1
S,even,1
S,examin,1
S,father,1
S,few,1
S,final,1
S,first,1
S,five,1
S,folk,1
S,found,1
S,from,1
S,general,1
S,had,1
S,hard,1
S,he,2
S,help,1
S,him,1
S,himself,2
S,his,4
S,hope,1
S,in,5
S,instant,1
S,live,1
S,may,1
S,mother,1
S,nekrassov,1
S,of,5
S,onli,1
S,open,1
S,out,1
S,parent,1
S,peopl,1
S,petersburg,1
S,poet,1
S,poor,2
S,publish,1
S,read,1
S,reader,1
S,receiv,1
S,religi,1
S,review,1
S,room,1
S,school,1
S,seem,1
S,serious,1
S,shi,1
S,sick,1
S,so,1
S,someth,1
S,son,1
S,soon,1
S,spent,1
S,stori,1
S,success,1
S,that,1
S,the,7
S,their,3
S,there,1
S,they,1
S,third,1
S,this,1
S,those,1
S,though,1
S,to,3
S,two,1
S,understand,1
S,unknown,1
S,veri,1
S,was,4
S,were,2
S,with,2
S,word,1
S,work,3
S,youth,1
L,1849,1
L,A,2
L,Dostoevsky,3
L,Engineering,1
L,English,1
L,Folk,1
L,His,1
L,In,1
L,Nekrassov,1
L,Petersburg,1
L,Poor,1
L,The,2
L,There,1
L,This,1
L,Though,1
L,a,3
L,about,1
L,acclamation,1
L,aloud,1
L,already,1
L,always,1
L,and,5
L,arrested,1
L,before,1
L,begun,1
L,book,1
L,brilliant,1
L,but,2
L,by,1
L,came,1
L,career,1
L,celebrity,1
L,character,1
L,child,2
L,dashed,1
L,deeply,1
L,delicate,1
L,doctor,1
L,evening,1
L,examination,1
L,father,1
L,few,1
L,final,1
L,first,1
L,five,1
L,found,1
L,from,1
L,generally,1
L,had,1
L,hard,1
L,he,2
L,help,1
L,him,1
L,himself,2
L,his,3
L,hope,1
L,in,4
L,instantly,1
L,lived,1
L,may,1
L,mother,1
L,of,5
L,only,1
L,open,1
L,out,1
L,parent,1
L,people,1
L,poet,1
L,poor,1
L,published,1
L,reader,1
L,reading,1
L,received,1
L,religious,1
L,review,1
L,room,1
L,school,1
L,seemed,1
L,serious,1
L,shy,1
L,sickly,1
L,so,1
L,something,1
L,son,1
L,soon,1
L,spent,1
L,story,1
L,successful,1
L,that,1
L,the,5
L,their,3
L,they,1
L,third,1
L,those,1
L,to,3
L,two,1
L,understand,1
L,unknown,1
L,very,1
L,wa,4
L,were,2
L,with,2
L,word,1
L,work,2
L,working,1
L,youth,1
